id_empresa,status,nome_fantasia,grupo,cidade,estado,pais,latitude,longitude,coordenadas_validas,materias_primas,produtos,associada,data_ultima_atualizacao,builtup_px
20633,A,Coprodia,,Campo Novo do Parecís,MT,Brasil,-13.786112,-57.844369,1,Cana-de-Açúcar | Milho,Açúcar | Etanol,N,1693785600000,293
55509,A,Rio Amambai Agroenergia,Amerra,Naviraí,MS,Brasil,-23.130837,-54.199585,1,Cana-de-Açúcar,Açúcar | Etanol,S,1734048000000,289
20726,A,Raízen - Unidade Lagoa da Prata,Biosev,Lagoa da Prata,MG,Brasil,-20.075817,-45.563985,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,287
22332,A,bp bioenergy - Unidade Itapagipe,BP Bunge Bioenergia,Itapagipe,MG,Brasil,-19.890397,-49.690172,1,Cana-de-Açúcar,Açúcar | Etanol,N,1729468800000,287
22638,A,Usina Ipê,Da Pedra,Nova Independência,SP,Brasil,-21.166437,-51.468266,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Etanol,S,1734048000000,282
20618,A,Colorado,Colorado,Guaíra,SP,Brasil,-20.280562,-48.183149,1,Cana-de-Açúcar,Açúcar | Etanol,N,1728432000000,282
20667,A,Usina Açucareira Ester,Coutinho Nogueira,Cosmópolis,SP,Brasil,-22.659921,-47.211872,1,Cana-de-Açúcar,Açúcar | Etanol,N,1759795200000,280
25352,A,Raízen - Unidade Centroeste,Raízen,Jataí,GO,Brasil,-17.701431,-51.626105,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,279
20852,A,São Francisco - (UFRA),Balbo,Sertãozinho,SP,Brasil,-21.174685,-48.118198,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,279
21284,A,Bioenergética Aroeira,Maubisa,Tupaciguara,MG,Brasil,-18.751808,-48.611635,1,Cana-de-Açúcar,Etanol,S,1775520000000,276
20687,A,Raízen - Unidade Ipaussu,Raízen,Ipaussu,SP,Brasil,-23.101779,-49.590451,1,Cana-de-Açúcar,Açúcar | Etanol,N,1734048000000,276
20653,A,DCBio,,Bariri,SP,Brasil,-22.058595,-48.715742,1,Cana-de-Açúcar,Açúcar | Bagaço | Bioeletricidade | Etanol | Levedura | Óleo,S,1734048000000,276
26285,A,São Francisco - (Barrinha),,Barrinha,SP,Brasil,-21.174291,-48.120622,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,275
20002,A,Raízen - Parque de Bioenergia Mundial,Raízen,Mirandópolis,SP,Brasil,-21.196834,-51.216873,1,Cana-de-Açúcar,Bioeletricidade | Etanol,S,1754611200000,274
20679,A,Goiasa,Construcap,Goiatuba,GO,Brasil,-18.071627,-49.671543,1,Cana-de-Açúcar,Açúcar | Etanol,N,1693440000000,272
52139,A,Luso,,Ventania,PR,Brasil,-24.254192,-50.236955,1,Cana-de-Açúcar,Açúcar | Etanol,N,1687910400000,271
25387,A,Atvos - Unidade Santa Luzia,Mubadala Capital,Nova Alvorada do Sul,MS,Brasil,-21.586143,-54.248157,1,Cana-de-Açúcar,Açúcar | Bioeletricidade | Crédito de Carbono | Etanol,S,1734048000000,266
