safra,quinzena,producao
2020/2021,1ª Mai,2485236
2020/2021,1ª Mar,50235
2020/2021,1ª Nov,1243714
2020/2021,1ª Out,2620948
2020/2021,1ª Set,3203981
2020/2021,2ª Abr,2033354
2020/2021,2ª Ago,2933842
2020/2021,2ª Dez,11043
2020/2021,2ª Fev,18673
2020/2021,2ª Jan,1861
2020/2021,2ª Jul,3439811
2020/2021,2ª Jun,2738218
2020/2021,2ª Mai,2557041
2020/2021,2ª Mar,173593
2020/2021,2ª Nov,430878
2020/2021,2ª Out,1735653
2020/2021,2ª Set,2865964
2021/2022,1ª Abr,632971
2021/2022,1ª Ago,2996200
2021/2022,1ª Dez,23846
2021/2022,1ª Fev,0
2021/2022,1ª Jan,0
2021/2022,1ª Jul,2979778
2021/2022,1ª Jun,2226782
2021/2022,1ª Mai,2386556
2021/2022,1ª Mar,0
2021/2022,1ª Nov,635108
2021/2022,1ª Out,1150692
2021/2022,1ª Set,2553721
2021/2022,2ª Abr,1524261
2021/2022,2ª Ago,2967888
2021/2022,2ª Dez,0
2021/2022,2ª Fev,0
2021/2022,2ª Jan,0
2021/2022,2ª Jul,3046611
2021/2022,2ª Jun,2924765
2021/2022,2ª Mai,2650087
2021/2022,2ª Mar,12473
2021/2022,2ª Nov,162937
2021/2022,2ª Out,862035
2021/2022,2ª Set,2338353
2022/2023,1ª Abr,131347
2022/2023,1ª Ago,2630688
2022/2023,1ª Dez,302783
2022/2023,1ª Fev,2356
2022/2023,1ª Jan,19410
2022/2023,1ª Jul,2976834
2022/2023,1ª Jun,2147841
2022/2023,1ª Mai,1679141
2022/2023,1ª Mar,15561
2022/2023,1ª Nov,1672693
2022/2023,1ª Out,1843292
2022/2023,1ª Set,2871330
2022/2023,2ª Abr,926832
2022/2023,2ª Ago,3147996
2022/2023,2ª Dez,173830
2022/2023,2ª Fev,350
2022/2023,2ª Jan,16647
2022/2023,2ª Jul,3307600
2022/2023,2ª Jun,2505239
2022/2023,2ª Mai,2318496
2022/2023,2ª Mar,167841
2022/2023,2ª Nov,1036010
2022/2023,2ª Out,2148119
2022/2023,2ª Set,1698953
2023/2024,1ª Abr,541750
2023/2024,1ª Ago,3463815
2023/2024,1ª Dez,941728
2023/2024,1ª Fev,27524
2023/2024,1ª Jan,43016
2023/2024,1ª Jul,3255143
2023/2024,1ª Jun,2560338
2023/2024,1ª Mai,2542255
2023/2024,1ª Mar,64299
2023/2024,1ª Nov,2198761
2023/2024,1ª Out,2262082
2023/2024,1ª Set,3126093
2023/2024,2ª Abr,1000475
2023/2024,2ª Ago,3467220
2023/2024,2ª Dez,236325
2023/2024,2ª Fev,16572
2023/2024,2ª Jan,27916
