year,month,kgms_000,mean,std,milk_z,index,n_obs
2023,6,20784,19870.18181818182,3476.833180300195,0.2628306088988945,0.1518679292800857,40
2023,7,25116,24999.090909090908,3057.822933217209,0.03823278635237686,-0.0110974004698296,48
2023,8,112564,118111.0,5584.631291917733,-0.9932616335885605,0.15590223120116298,69
2023,9,210436,216739.9,7570.952185088004,-0.832642955058726,-0.08068723961692141,37
2023,10,254432,260403.1,8109.454652852229,-0.7363133842668288,0.013250535512575956,50
2023,11,239213,243114.3,5648.270808152016,-0.69070696723134,0.27478446934343864,53
2023,12,225182,225552.5,6255.264045408292,-0.05923011359879642,-0.1212296003646516,34
2024,1,201791,207132.45454545456,6859.370369992224,-0.7787091609489245,0.08028754335855964,40
2024,2,174718,169826.45454545456,6377.939045861705,0.7669476643429662,0.13772976939920634,74
2024,3,172573,172621.54545454544,8500.660896231966,-0.005710785918652484,-0.13014302198089273,40
2024,4,149987,146264.0909090909,8241.571057201963,0.45172322911124985,0.28521294924364626,48
2024,5,96364,94232.90909090909,8302.620025685203,0.25667691674412574,0.030154525331558903,55
2024,6,20334,19870.18181818182,3476.833180300195,0.1334024837447431,-0.2814031439087123,41
2024,7,27429,24999.090909090908,3057.822933217209,0.7946533020316274,0.004227751638178896,44
2024,8,123823,118111.0,5584.631291917733,1.0228070039765382,0.15848656135315656,39
2024,9,221291,216739.9,7570.952185088004,0.6011265014939603,0.1470444170879093,61
2024,10,261483,260403.1,8109.454652852229,0.13316555135062944,0.3530116871775172,42
2024,11,245773,243114.3,5648.270808152016,0.47071043338835183,-0.021599523600525677,59
2024,12,228298,225552.5,6255.264045408292,0.43891032897569654,-0.2924727390192798,46
2025,1,211853,207132.45454545456,6859.370369992224,0.6881893234977473,0.1399128282255551,56
2025,2,171157,169826.45454545456,6377.939045861705,0.20861683452568572,-0.2600856630359042,44
2025,3,173986,172621.54545454544,8500.660896231966,0.16051158399453055,-0.40322117954741954,46
2025,4,150138,146264.0909090909,8241.571057201963,0.47004497856313954,0.28955991154469707,64
2025,5,103525,94232.90909090909,8302.620025685203,1.119175739747773,-0.15710099577935824,62
2025,6,24051,19870.18181818182,3476.833180300195,1.2024787975180338,-0.07727424517052513,49
2025,7,28130,24999.090909090908,3057.822933217209,1.0239013701211885,0.23342410693722757,41
2025,8,126991,118111.0,5584.631291917733,1.5900781154257106,-0.0009314234919534178,78
2025,9,229013,216739.9,7570.952185088004,1.6210774681913205,0.08211720783005781,55
2025,10,268952,260403.1,8109.454652852229,1.0541892600624143,0.08886243174702065,36
2025,11,252373,243114.3,5648.270808152016,1.6392096474264564,0.1140767700507556,60
2025,12,235567,225552.5,6255.264045408292,1.6009715860597753,0.14461326909001998,51
2026,1,217967,207132.45454545456,6859.370369992224,1.5795247770762557,-0.2793501191319925,28
2026,2,183868,169826.45454545456,6377.939045861705,2.2015803778583036,0.15559267076921302,30
2026,3,190445,172621.54545454544,8500.660896231966,2.0967139805982673,0.19708962827346455,90
2026,4,160642,146264.0909090909,8241.571057201963,1.7445592583157838,-0.1496006473691844,64
2026,5,108730,94232.90909090909,8302.620025685203,1.7460862793000682,0.21939799324764223,46
2026,6,25401,19870.18181818182,3476.833180300195,1.590763172980488,-0.016628039273349614,27
2026,7,30346,24999.090909090908,3057.822933217209,1.7485999705298436,-0.008296137421737083,72
