date,eurostat_z,eurostat_level,sat_all,sat_clean,n,n_plants,sat_clean_3m
2023-10-01,-3.7526505498323375,92.13333333333333,0.10796602088922755,0.15560389361489815,24,6,0.20949316304866492
2023-11-01,-1.9398428552872,83.2,-0.5471945550628395,-0.43365920855111983,18,5,-0.02423955805180682
2023-12-01,-3.465062726778081,79.71666666666667,0.16384858673046124,0.20533664078080135,15,5,-0.5469394877267464
2024-01-01,-3.557298967818909,86.28333333333335,-1.004990717060159,-1.4124958954099205,12,2,-0.6893536868566391
2024-02-01,-2.791290862399866,95.75,-0.7833883012304438,-0.8609018059407977,12,5,-1.135123979732515
2024-03-01,-2.008114322327416,96.38333333333333,-0.8395148265712857,-1.1319742378468265,13,7,-1.2350273464520234
2024-04-01,-2.0142629144660944,76.5,-1.1606063079660496,-1.7122059955684459,16,4,-1.110925810332055
2024-05-01,-1.3978459585565641,81.25,-0.3354599898817362,-0.4885971975808926,20,5,-0.778042010756447
2024-06-01,-1.219896781805878,77.8,0.4737673577929031,-0.133322839120002,25,6,-0.036820257573556336
2024-07-01,-1.8218145293848895,78.51666666666667,0.5903033237963611,0.5114592639802258,35,7,0.15640500267172527
2024-08-01,-1.6660437798620402,74.38333333333334,0.7170590177027033,0.09107858315495221,40,6,0.06937793534133231
2024-09-01,-1.4453579224095383,85.2,0.17915203408846386,-0.3944040411111808,21,6,-0.11720201966455196
2024-10-01,-6.337972112310418,92.2,0.11258628802241037,-0.04828060103742704,24,5,-0.42136808168980094
2024-11-01,-2.3805137377358956,78.81666666666666,-0.8214196029207947,-0.8214196029207947,11,5,-0.32001937571619427
2024-12-01,-3.613907072015021,77.76666666666667,-0.09035792319036069,-0.09035792319036069,17,5,-0.5781551021033532
2025-01-01,-3.151716730026131,88.10000000000001,-0.5306327384655625,-0.822687780198904,17,3,-0.454545035480068
2025-02-01,-3.367070557324988,92.01666666666667,-0.34590988975048215,-0.45058940305093903,19,6,-0.48530493842657035
2025-03-01,-2.1252396610809168,98.48333333333333,-0.06749007143868983,-0.18263763202986752,35,7,-0.10455366067111989
2025-04-01,-1.9939361869107435,77.13333333333334,0.19754390706101338,0.31956605306744723,28,7,-0.1297869123594553
2025-05-01,-1.615632188526942,78.98333333333333,-0.36480008044476286,-0.5262891581159452,26,7,-0.008748042947478302
2025-06-01,-1.7325571311678905,73.51666666666667,0.29172336899620815,0.18047897620606346,30,6,0.08937749893449891
2025-07-01,-2.785612317977842,71.95,0.3338026991789879,0.6139426787133788,28,6,0.2385442587228238
2025-08-01,-2.721747369248527,64.8,0.01675358215316351,-0.07878887875097054,41,7,0.08153251942475737
2025-09-01,-1.7990862556161726,81.28333333333333,-0.41468488129565045,-0.2905562416881359,22,6,0.01005397377932841
2025-10-01,-8.31109727248969,86.93333333333334,0.7916139397818762,0.39950704177709195,15,4,-0.0259643863277014
2025-11-01,-1.8983836230142035,85.11666666666666,-0.2840920130022047,-0.18684395907205997,16,4,-0.029756553492165393
2025-12-01,-3.632732183683141,73.41666666666667,-0.40702028853803734,-0.30193274318152785,14,5,-0.1544701294114765
2026-01-01,-3.948905752616426,83.01666666666667,-0.19749823091186244,0.02536631401915863,10,3,-0.2809975918643684
2026-02-01,-3.707468712157414,91.25,-0.4850875180281382,-0.5664263464307357,14,4,-0.33752922238392297
2026-03-01,-1.7137457915494088,105.21666666666665,-0.28493346069466774,-0.47152763474019155,34,7,-0.28353220334376444
2026-04-01,-1.3410779539615136,85.31666666666666,0.2554310324184652,0.18735737113963433,33,7,0.003579784750104268
2026-05-01,-1.0471452382611695,78.88333333333334,0.273534989543361,0.29490961785087033,30,7,0.17795086465741608
2026-06-01,-0.5875729608435473,71.18333333333334,0.30069903001963555,0.051585604981743895,23,6,0.17324761141630696
